Flight_ID,Airline,Source,Destination,Departure_Date,Departure_Time,Arrival_Time,Total_Stops,Distance_km,Travel_Class,Days_Before_Departure,Season,Weekday,Aircraft_Type,Booking_Channel,Passenger_Count,Price,Duration_minutes
FL182021,Vistara,Bangkok,LHR,2025-04-05,21:20,11:56 AM,1,9657.2,Economy,0.0,Summer,Saturday,Boeing 787 Dreamliner,Travel Agent,1,154197.37,876.0
FL175377,Qatar Airways,London,New York,2026-05-15,06:35,14:18,0,5630.7,Economy,45.0,Summer,Friday,Airbus A380,Third-Party,4,65188.13,
FL121873,Vistara,Hyderabad,New York,2025-03-03,9:40 AM,06:33,2,13234.8,Premium Economy,5.0,Summer,Monday,Airbus A350,Third-Party,4,167087.61,
FL107871,Singapore Airlines,Delhi Airport,Frankfurt,2026-03-30,11:15 AM,8:58 PM,1,6316.9,Economy,119.0,Summer,Monday,Boeing 777,Travel Agent,2,44020.09,584.0
FL194317,SpiceJet,Hyderabad,DEL,2026-12-08,11:15 PM,1:25 AM,0,1306.0,Economy,21.0,Winter,Tuesday,Airbus A321,Third-Party,4,6930.74,130.2
FL105739,Emirates,HYD,Dubai Airport,2025-12-29,,05:49,1,2721.6,Premium Economy,13.0,Winter,Monday,Airbus A380,Third-Party,1,51018.54,335.0
FL100400,Thai Airways,Bangkok,Mumbai,2026-04-24,19:55,01:33,1,3103.0,First,35.139630174406385,,Friday,Boeing 787 Dreamliner,Airport Counter,two,142625.57,
FL149570,Emirates,Bangalore,New York,2026-05-29,13:40,11:12 AM,2,13997.7,Premium Economy,147.0,Summer,Friday,Boeing 787 Dreamliner,Third-Party,2,160005.05,1293.0
FL184655,Vistara,Mumbai,Singapore,2026-07-08,3:45 AM,9:30 AM,0,4104.1,Economy,5.0,Monsoon,Wednesday,Airbus A380,Website,2,43480.38,346.0
FL147376,air india,New York,Bangkok Airport,2026-02-02,9:30 PM,6:26 PM,2,14009.5,Economy,10.0,Winter,Monday,Boeing 787 Dreamliner,Website,4,137964.32,1256.0
FL100083,Lufthansa,,London Airport,2025-07-25,04:15,1:50 PM,1,5784.1,Economy,1.0,Monsoon,Friday,Airbus A350,Website,2,98392.9,
FL171627,Lufthansa,Hyderabad,Sydney,2026-01-01,12:25 AM,3:01 PM,1,9999.8,Premium Economy,3.0,Winter,Thursday,,Website,1,200000.0,
